,group,event,date,time,azim,elev,distance,radialvelocity
0,1,AOS,06/18/2023,06:03:36,239.76,0.0,2331.97,-6586.48
1,1,,06/18/2023,06:03:38,239.83,0.08,2323.26,-6583.99
2,1,,06/18/2023,06:03:40,239.95,0.2,2310.09,-6580.14
3,1,,06/18/2023,06:03:42,240.06,0.32,2296.94,-6576.21
4,1,,06/18/2023,06:03:44,240.17,0.44,2283.79,-6572.17
5,1,,06/18/2023,06:03:46,240.29,0.56,2270.65,-6568.03
6,1,,06/18/2023,06:03:48,240.41,0.68,2257.52,-6563.79
7,1,,06/18/2023,06:03:50,240.53,0.8,2244.39,-6559.44
8,1,,06/18/2023,06:03:52,240.65,0.93,2231.28,-6554.99
9,1,,06/18/2023,06:03:54,240.77,1.05,2218.17,-6550.43
10,1,,06/18/2023,06:03:56,240.89,1.17,2205.08,-6545.75
11,1,,06/18/2023,06:03:58,241.02,1.3,2191.99,-6540.97
12,1,,06/18/2023,06:04:00,241.14,1.43,2178.91,-6536.06
13,1,,06/18/2023,06:04:02,241.27,1.55,2165.85,-6531.04
14,1,,06/18/2023,06:04:04,241.4,1.68,2152.79,-6525.89
15,1,,06/18/2023,06:04:06,241.53,1.81,2139.74,-6520.62
16,1,,06/18/2023,06:04:08,241.66,1.94,2126.71,-6515.22
17,1,,06/18/2023,06:04:10,241.8,2.07,2113.68,-6509.7
18,1,,06/18/2023,06:04:12,241.93,2.2,2100.67,-6504.04
19,1,,06/18/2023,06:04:14,242.07,2.33,2087.67,-6498.24
20,1,,06/18/2023,06:04:16,242.21,2.46,2074.68,-6492.3
21,1,,06/18/2023,06:04:18,242.35,2.59,2061.7,-6486.22
22,1,,06/18/2023,06:04:20,242.49,2.73,2048.73,-6480.0
23,1,,06/18/2023,06:04:22,242.64,2.86,2035.78,-6473.63
24,1,,06/18/2023,06:04:24,242.78,3.0,2022.84,-6467.1
25,1,,06/18/2023,06:04:26,242.93,3.13,2009.91,-6460.42
26,1,,06/18/2023,06:04:28,243.08,3.27,1997.0,-6453.58
27,1,,06/18/2023,06:04:30,243.23,3.41,1984.1,-6446.58
28,1,,06/18/2023,06:04:32,243.39,3.55,1971.21,-6439.41
29,1,,06/18/2023,06:04:34,243.54,3.68,1958.34,-6432.06
30,1,,06/18/2023,06:04:36,243.7,3.83,1945.48,-6424.54
31,1,,06/18/2023,06:04:38,243.86,3.97,1932.64,-6416.85
32,1,,06/18/2023,06:04:40,244.02,4.11,1919.81,-6408.96
33,1,,06/18/2023,06:04:42,244.19,4.25,1907.0,-6400.89
34,1,,06/18/2023,06:04:44,244.36,4.4,1894.21,-6392.63
35,1,,06/18/2023,06:04:46,244.53,4.54,1881.43,-6384.16
36,1,,06/18/2023,06:04:48,244.7,4.69,1868.67,-6375.5
37,1,,06/18/2023,06:04:50,244.87,4.84,1855.93,-6366.62
38,1,,06/18/2023,06:04:52,245.05,4.99,1843.21,-6357.53
39,1,,06/18/2023,06:04:54,245.23,5.14,1830.5,-6348.22
40,1,,06/18/2023,06:04:56,245.41,5.29,1817.81,-6338.69
41,1,,06/18/2023,06:04:58,245.59,5.44,1805.15,-6328.93
42,1,,06/18/2023,06:05:00,245.78,5.59,1792.5,-6318.93
43,1,,06/18/2023,06:05:02,245.97,5.75,1779.87,-6308.69
44,1,,06/18/2023,06:05:04,246.16,5.9,1767.26,-6298.2
45,1,,06/18/2023,06:05:06,246.36,6.06,1754.68,-6287.45
46,1,,06/18/2023,06:05:08,246.55,6.22,1742.11,-6276.44
47,1,,06/18/2023,06:05:10,246.75,6.38,1729.57,-6265.16
48,1,,06/18/2023,06:05:12,246.96,6.54,1717.05,-6253.61
49,1,,06/18/2023,06:05:14,247.17,6.7,1704.56,-6241.77
