group	event	date	time	azim	elev	distance	radialvelocity
1	AOS	06/18/2023	06:03:36	239.76	0.0	2331.97	-6586.48
1		06/18/2023	06:03:37	239.78	0.02	2329.84	-6585.87
1		06/18/2023	06:03:38	239.83	0.08	2323.26	-6583.99
1		06/18/2023	06:03:39	239.89	0.14	2316.68	-6582.08
1		06/18/2023	06:03:40	239.95	0.2	2310.09	-6580.14
1		06/18/2023	06:03:41	240.0	0.26	2303.51	-6578.19
1		06/18/2023	06:03:42	240.06	0.32	2296.94	-6576.21
1		06/18/2023	06:03:43	240.12	0.38	2290.36	-6574.2
1		06/18/2023	06:03:44	240.17	0.44	2283.79	-6572.17
1		06/18/2023	06:03:45	240.23	0.5	2277.22	-6570.11
1		06/18/2023	06:03:46	240.29	0.56	2270.65	-6568.03
1		06/18/2023	06:03:47	240.35	0.62	2264.08	-6565.92
1		06/18/2023	06:03:48	240.41	0.68	2257.52	-6563.79
1		06/18/2023	06:03:49	240.47	0.74	2250.95	-6561.63
1		06/18/2023	06:03:50	240.53	0.8	2244.39	-6559.44
1		06/18/2023	06:03:51	240.59	0.86	2237.84	-6557.23
1		06/18/2023	06:03:52	240.65	0.93	2231.28	-6554.99
1		06/18/2023	06:03:53	240.71	0.99	2224.73	-6552.72
1		06/18/2023	06:03:54	240.77	1.05	2218.17	-6550.43
1		06/18/2023	06:03:55	240.83	1.11	2211.62	-6548.1
1		06/18/2023	06:03:56	240.89	1.17	2205.08	-6545.75
1		06/18/2023	06:03:57	240.96	1.24	2198.53	-6543.37
1		06/18/2023	06:03:58	241.02	1.3	2191.99	-6540.97
1		06/18/2023	06:03:59	241.08	1.36	2185.45	-6538.53
1		06/18/2023	06:04:00	241.14	1.43	2178.91	-6536.06
1		06/18/2023	06:04:01	241.21	1.49	2172.38	-6533.56
1		06/18/2023	06:04:02	241.27	1.55	2165.85	-6531.04
1		06/18/2023	06:04:03	241.34	1.62	2159.32	-6528.48
1		06/18/2023	06:04:04	241.4	1.68	2152.79	-6525.89
1		06/18/2023	06:04:05	241.47	1.74	2146.27	-6523.27
1		06/18/2023	06:04:06	241.53	1.81	2139.74	-6520.62
1		06/18/2023	06:04:07	241.6	1.87	2133.22	-6517.94
1		06/18/2023	06:04:08	241.66	1.94	2126.71	-6515.22
1		06/18/2023	06:04:09	241.73	2.0	2120.19	-6512.48
1		06/18/2023	06:04:10	241.8	2.07	2113.68	-6509.7
1		06/18/2023	06:04:11	241.87	2.13	2107.17	-6506.88
1		06/18/2023	06:04:12	241.93	2.2	2100.67	-6504.04
1		06/18/2023	06:04:13	242.0	2.26	2094.17	-6501.15
1		06/18/2023	06:04:14	242.07	2.33	2087.67	-6498.24
1		06/18/2023	06:04:15	242.14	2.39	2081.17	-6495.29
1		06/18/2023	06:04:16	242.21	2.46	2074.68	-6492.3
1		06/18/2023	06:04:17	242.28	2.53	2068.19	-6489.28
1		06/18/2023	06:04:18	242.35	2.59	2061.7	-6486.22
1		06/18/2023	06:04:19	242.42	2.66	2055.21	-6483.13
1		06/18/2023	06:04:20	242.49	2.73	2048.73	-6480.0
1		06/18/2023	06:04:21	242.56	2.79	2042.25	-6476.83
1		06/18/2023	06:04:22	242.64	2.86	2035.78	-6473.63
1		06/18/2023	06:04:23	242.71	2.93	2029.31	-6470.39
1		06/18/2023	06:04:24	242.78	3.0	2022.84	-6467.1
1		06/18/2023	06:04:25	242.86	3.06	2016.37	-6463.78
1		06/18/2023	06:04:26	242.93	3.13	2009.91	-6460.42
1		06/18/2023	06:04:27	243.01	3.2	2003.45	-6457.02
1		06/18/2023	06:04:28	243.08	3.27	1997.0	-6453.58
1		06/18/2023	06:04:29	243.16	3.34	1990.54	-6450.1
1		06/18/2023	06:04:30	243.23	3.41	1984.1	-6446.58
1		06/18/2023	06:04:31	243.31	3.48	1977.65	-6443.01
1		06/18/2023	06:04:32	243.39	3.55	1971.21	-6439.41
1		06/18/2023	06:04:33	243.47	3.61	1964.77	-6435.76
1		06/18/2023	06:04:34	243.54	3.68	1958.34	-6432.06
1		06/18/2023	06:04:35	243.62	3.76	1951.91	-6428.33
1		06/18/2023	06:04:36	243.7	3.83	1945.48	-6424.54
1		06/18/2023	06:04:37	243.78	3.9	1939.06	-6420.72
1		06/18/2023	06:04:38	243.86	3.97	1932.64	-6416.85
1		06/18/2023	06:04:39	243.94	4.04	1926.22	-6412.93
1		06/18/2023	06:04:40	244.02	4.11	1919.81	-6408.96
1		06/18/2023	06:04:41	244.11	4.18	1913.41	-6404.95
1		06/18/2023	06:04:42	244.19	4.25	1907.0	-6400.89
